Date,Open,High,Low,Volume,Adj Close,Close
2006-12-20,6.416667,6.493333,6.371667,30659400,5.84933,6.376667
2015-02-18,5.5875,5.5975,5.52,17094800,5.310316,5.53
2009-08-24,3.4625,3.5,3.365,46145600,3.105068,3.385
2023-09-18,427.480011,442.420013,420.0,50027100,439.600708,439.660004
2011-08-15,3.2525,3.35,3.235,86415200,3.066083,3.3425
2020-12-14,130.880005,133.887497,130.774994,27015600,132.781998,133.087494
2012-01-10,3.69,3.6925,3.595,54632800,3.320634,3.62
2003-10-27,1.433333,1.45,1.423333,25446000,1.3148,1.433333
2004-03-23,1.858333,1.878333,1.82,57603600,1.6886,1.840833
2003-08-19,1.416667,1.5,1.415833,140397600,1.36831,1.491667
2001-09-20,2.488333,2.579167,2.333333,147069600,2.207641,2.406667
2012-09-19,3.395,3.475,3.355,45193600,3.144053,3.4275
2018-08-20,60.794998,63.299999,59.68,85438800,61.380814,61.959999
2008-03-03,5.34,5.3775,5.215,44902800,4.847943,5.285
2018-06-13,65.660004,66.417503,65.5075,33820800,64.986801,65.599998
2017-10-24,49.247501,49.6875,48.985001,40724400,49.110626,49.669998
2007-06-13,6.116667,6.196667,6.038333,58723200,5.682689,6.195
2007-07-17,7.815,7.971667,7.743333,64381200,7.109093,7.75
2019-11-18,50.9725,53.337502,50.942501,57458800,52.821976,53.07
2012-05-14,3.275,3.3325,3.2075,43747200,3.011045,3.2825
2019-07-05,40.099998,40.145,39.419998,39655200,39.83086,40.057499
2021-08-10,203.220001,204.300003,198.350006,17923800,199.016602,199.360001
2020-11-20,134.539993,134.945007,130.649994,34108800,130.538513,130.877502
2004-04-19,1.965833,1.979167,1.93,52280400,1.802499,1.965
2006-07-28,3.511667,3.785,3.491667,81529800,3.465873,3.778333
2004-08-24,1.066667,1.071667,0.9925,93942000,0.928769,1.0125
2024-02-02,639.73999,666.0,636.900024,47578000,661.56897,661.599976
2011-09-19,3.8,3.8275,3.6875,96820400,3.471989,3.785
2011-05-02,5.105,5.1075,4.9075,61382400,4.524592,4.9325
2015-07-24,4.9475,4.9525,4.835,18884400,4.701745,4.855
2011-05-24,4.54,4.7175,4.5275,72037200,4.159966,4.535
2015-04-27,5.525,5.6475,5.4775,24845600,5.350042,5.55
2011-09-07,3.5625,3.66,3.465,160662000,3.267889,3.5625
2001-11-12,4.416667,4.665833,4.281667,145863600,4.176016,4.5525
2020-12-04,134.485001,135.600006,133.887497,20224400,135.271271,135.582504
2014-02-19,4.475,4.575,4.455,45034000,4.278282,4.535
2007-01-05,5.843333,5.866667,5.57,124334400,5.146065,5.61
2018-04-03,56.950001,57.587502,55.337502,66743200,55.776379,56.337502
2013-01-25,3.0525,3.105,3.0375,39392000,2.864291,3.1025
2003-08-04,1.641667,1.735,1.631667,142885200,1.564,1.705
2017-10-16,48.950001,49.512501,48.310001,57664000,48.925236,49.482498
2015-01-13,4.96,5.06,4.88,23672000,4.719747,4.915
2008-07-08,3.045,3.12,2.95,180528800,2.758787,3.0075
2004-10-25,1.0975,1.135833,1.095,52916400,1.019735,1.111667
2002-03-18,4.4775,4.574167,4.3475,123699600,4.033835,4.3975
2007-12-24,8.855,8.9875,8.79,10400800,8.205264,8.945
2022-06-23,165.190002,165.850006,158.529999,46368000,162.080811,162.25
2013-11-15,4.07,4.075,4.0025,45033200,3.793118,4.0425
2004-03-24,1.8375,1.954167,1.833333,78734400,1.764278,1.923333
2005-12-08,2.994167,3.033333,2.951667,38666400,2.73891,2.985833
2015-12-16,8.26,8.32,8.1875,23635600,8.095148,8.2925
2009-03-23,2.4575,2.56,2.4025,81604800,2.343707,2.555
2014-03-31,4.4825,4.5225,4.4525,27340400,4.243109,4.4775
2005-02-07,2.151667,2.191667,2.104167,52162800,1.947738,2.123333
2022-10-11,115.610001,118.459999,112.830002,66748200,115.77356,115.860001
2012-04-04,3.7125,3.76,3.64,49589600,3.359619,3.6625
2000-12-08,1.861979,2.083333,1.688151,85339200,1.901492,2.072917
2003-11-12,1.756667,1.791667,1.748333,61766400,1.638149,1.785833
2005-09-16,2.7925,2.8075,2.748333,51982800,2.541691,2.770833
2005-03-07,2.3075,2.369167,2.291667,51117600,2.128905,2.320833
2009-08-04,3.2625,3.4,3.2575,69538000,3.066083,3.3425
2001-06-12,3.83125,4.102083,3.822917,110272800,3.70934,4.04375
2021-04-26,151.850006,154.789993,151.25,19779600,154.478027,154.779999
2019-11-04,51.462502,52.75,51.23,37671600,52.379055,52.625
2011-10-04,2.88,3.225,2.8675,136154800,2.958299,3.225
2020-03-05,69.125,70.800003,67.875,54032800,68.094086,68.322502
2016-01-27,7.165,7.1875,6.955,23170000,6.921265,7.09
2022-02-03,244.580002,250.770004,237.800003,41017800,239.138962,239.479996
2006-02-16,3.818333,3.941667,3.7925,130588800,3.608054,3.933333
2006-01-13,3.565833,3.595,3.4925,42129600,3.249543,3.5425
2006-11-01,5.735,5.788333,5.283333,117654000,4.919797,5.363333
2017-05-02,26.387501,26.4,25.639999,62997200,25.529264,25.870001
2000-11-01,2.526042,2.625,2.4375,30453600,2.374475,2.588542
2002-01-15,5.1875,5.448333,5.181667,183880800,4.994711,5.445
2014-05-20,4.615,4.6275,4.5375,25620000,4.341193,4.56
2023-06-29,415.579987,416.0,406.0,38051400,408.131348,408.220001
2016-12-06,23.0525,23.432501,22.8925,49879600,23.010956,23.3475
2017-01-31,27.237499,27.512501,27.049999,36275600,26.901548,27.295
2021-01-08,133.625,134.210007,130.419998,29252800,132.462738,132.767502
2006-10-26,5.48,5.658333,5.48,36669000,5.173585,5.64
2003-03-25,1.139167,1.185833,1.135,67282800,1.071715,1.168333
2021-03-11,129.5,130.462494,127.345001,29991600,129.681458,129.934998
2020-08-19,122.964996,123.150002,120.980003,62262400,121.034386,121.385002
2022-12-13,185.309998,187.899994,177.110001,65658900,180.631378,180.720001
2019-03-29,44.985001,45.134998,44.477501,45689600,44.585133,44.889999
2006-02-01,3.679167,3.764167,3.665,45085200,3.439119,3.749167
2014-05-13,4.5825,4.6575,4.555,22110400,4.330765,4.57
2020-02-13,67.552498,68.370003,67.277496,52801600,67.428337,67.695
2010-01-11,4.6625,4.6825,4.5075,55661200,4.194366,4.5725
2008-10-31,2.09,2.2325,2.085,60867200,2.008891,2.19
2004-06-29,1.683333,1.733333,1.676667,36385200,1.587697,1.730833
2013-01-24,3.0225,3.06,3.0075,39698000,2.813514,3.0475
2018-05-11,63.195,64.947502,62.634998,121445600,62.998718,63.6325
2014-06-04,4.7025,4.755,4.7,16123600,4.493515,4.72
2012-06-11,3.1275,3.1825,3.0575,83908000,2.811532,3.065
2020-06-19,92.425003,94.449997,92.272499,52416000,92.344978,92.612503
2016-12-22,26.705,27.217501,26.6325,71861200,26.391512,26.7775
2012-04-27,3.2675,3.2875,3.21,47535600,2.976646,3.245
2018-11-01,53.075001,54.622501,51.797501,56652800,54.047337,54.5275
2018-03-22,61.5,61.970001,60.084999,55119600,59.860294,60.462502
2022-03-03,242.619995,243.259995,234.690002,36509500,236.842621,237.139999
2004-09-22,1.221667,1.251667,1.190833,62592000,1.097705,1.196667
2020-01-07,59.549999,60.442501,59.0975,31485600,59.746223,59.982498
2009-03-04,2.0225,2.175,2.005,110866800,1.940094,2.115
2000-07-11,2.515625,2.885417,2.486979,75530400,2.527359,2.755208
2011-09-28,3.4675,3.555,3.3,123653200,3.077548,3.355
2005-12-14,3.089167,3.104167,3.046667,28747200,2.828348,3.083333
2017-09-22,45.075001,45.577499,44.650002,49123200,44.246037,44.75
2001-06-20,3.529583,3.791667,3.45625,175920000,3.440265,3.750417
2004-11-26,1.645833,1.67,1.631667,35076000,1.518135,1.655
2009-05-01,2.8625,2.985,2.86,84054800,2.67623,2.9175
2010-07-08,2.675,2.6775,2.545,78327200,2.364347,2.5775
2020-06-02,87.962502,88.372498,86.580002,39132000,87.95742,88.252502
2001-10-24,3.65,3.890833,3.608333,121214400,3.560661,3.881667
2020-10-02,132.25,135.195007,130.509995,55249600,130.284164,130.622498
2007-02-07,5.631667,5.818333,5.598333,76105800,5.324939,5.805
2003-01-16,0.983333,0.995833,0.9175,203997600,0.853855,0.930833
2022-06-01,187.240005,190.529999,181.220001,54451400,182.970245,183.199997
2013-09-24,3.9125,3.94,3.89,22973200,3.682866,3.925
2006-09-01,4.78,4.818333,4.63,60574200,4.263925,4.648333
2010-02-11,4.1575,4.325,4.1275,69598000,3.926054,4.28
2005-02-28,2.391667,2.416667,2.370833,75806400,2.216049,2.415833
2014-09-08,4.9875,4.9975,4.9275,31928800,4.730934,4.9475
2004-10-28,1.224167,1.25,1.215833,56155200,1.125988,1.2275
2001-12-24,5.379167,5.543333,5.376667,26530800,5.059685,5.515833
2005-06-17,2.275,2.279167,2.236667,45634800,2.05705,2.2425
2019-12-24,59.549999,59.827499,59.205002,13886400,59.420013,59.654999
2023-07-25,449.410004,461.829987,449.230011,34808100,456.690796,456.790009
2007-09-20,8.595,8.6875,8.445,32417200,7.833762,8.54
2011-12-06,3.8925,3.9,3.775,57383200,3.499508,3.815
2010-02-22,4.1625,4.225,4.125,45808400,3.809097,4.1525
2011-10-25,3.7025,3.7325,3.605,57799600,3.313755,3.6125
2018-10-05,69.572502,70.199997,66.885002,42663600,66.870903,67.464996
2005-05-10,1.941667,1.9425,1.868333,73512000,1.733701,1.89
2018-10-03,72.330002,72.404999,70.6325,32055200,71.051285,71.682503
2001-11-20,4.299167,4.374167,4.110833,93788400,3.814448,4.158333
2009-11-02,2.985,3.0825,2.9325,59313600,2.76796,3.0175
2006-02-27,3.834167,3.983333,3.794167,66646800,3.631752,3.959167
2012-04-13,3.6375,3.6575,3.5375,31132400,3.24725,3.54
2008-08-19,3.2375,3.375,3.2375,101414000,3.077548,3.355
2023-07-31,467.540009,471.299988,465.059998,25105500,467.188538,467.290009
2016-09-26,16.0525,16.15,15.8825,23004000,15.829439,16.084999
2008-05-08,5.545,5.5625,5.2525,136000000,5.033695,5.4875
2023-05-31,394.880005,402.950012,378.220001,100258000,378.218689,378.339996
2013-10-22,3.9625,3.965,3.9075,17945200,3.699286,3.9425
2016-12-08,23.797501,24.155001,23.262501,38154400,23.033129,23.370001
2022-01-31,231.820007,245.089996,230.520004,56468000,244.511292,244.860001
2022-02-07,243.720001,251.820007,242.020004,37686800,246.927856,247.279999
2021-05-26,157.342499,157.9375,155.862503,37044000,156.693665,157.0
2004-11-23,1.611667,1.649167,1.598333,67689600,1.496732,1.631667
2005-10-25,2.715833,2.76,2.704167,33468000,2.524112,2.751667
2019-09-18,45.197498,45.355,44.125,25815200,44.784718,44.994999
2001-06-05,3.702083,3.939583,3.695833,98716800,3.578243,3.900833
