Date,Open,High,Low,Volume,Adj Close,Close
2001-09-21,2.220833,2.356667,2.1675,122630400,2.061636,2.2475
2023-07-07,423.220001,432.140015,421.799988,35525300,424.937714,425.029999
2016-10-24,17.0,17.6975,16.997499,33983600,17.396641,17.6775
2015-12-11,8.1625,8.22,8.105,22732000,7.929194,8.1225
2009-08-03,3.31,3.3575,3.2475,47190000,3.045444,3.32
2001-02-20,2.416667,2.46875,2.229167,70130400,2.047208,2.231771
2005-04-15,1.82,1.833333,1.7625,63015600,1.632034,1.779167
2012-01-27,3.655,3.7475,3.625,44999600,3.419244,3.7275
2007-01-26,5.333333,5.385,5.15,82958400,4.811249,5.245
2000-05-02,1.916667,2.028646,1.789063,23400000,1.690082,1.842448
2019-03-06,39.040001,39.125,37.985001,40352400,37.754337,38.012501
2022-12-29,144.020004,146.830002,142.270004,35492300,145.958389,146.029999
2011-03-14,4.5475,4.6625,4.475,100336000,4.173726,4.55
2021-02-17,151.710007,152.235001,147.800003,27475600,148.717789,149.059998
2023-07-26,460.209991,460.529999,446.299988,36423700,454.421265,454.519989
2005-04-22,1.859167,1.871667,1.831667,33627600,1.700066,1.853333
2010-10-21,2.825,2.83,2.73,101442800,2.543221,2.7725
2012-05-17,3.1975,3.2275,3.1625,33536400,2.900968,3.1625
2003-01-17,0.905833,0.918333,0.884167,105883200,0.82175,0.895833
2013-11-06,3.7,3.7275,3.6625,19804400,3.495204,3.725
2021-04-27,155.785004,156.705002,153.544998,16457200,153.517365,153.817505
2012-10-05,3.415,3.45,3.3125,48306800,3.050029,3.325
2002-07-22,1.504167,1.546667,1.379167,129074400,1.321679,1.440833
2014-06-26,4.6525,4.655,4.575,25690800,4.369753,4.59
2011-01-14,5.7475,5.995,5.7125,159535200,5.40979,5.8975
2020-09-03,138.287506,138.845001,128.787506,94512800,129.817871,130.154999
2003-07-25,1.730833,1.765,1.666667,100208400,1.609866,1.755
2012-06-07,3.1425,3.16,2.97,52678000,2.72668,2.9725
2009-07-14,2.6425,2.6875,2.6125,45256800,2.456077,2.6775
2019-07-23,43.224998,43.935001,43.067501,42817600,43.666531,43.915001
2005-06-10,2.355833,2.358333,2.315833,46509600,2.138843,2.331667
2004-10-20,1.1275,1.149167,1.120833,54020400,1.049547,1.144167
2022-12-20,160.639999,163.100006,158.520004,40326000,160.771118,160.850006
2011-01-26,6.055,6.25,6.0125,107466000,5.627649,6.135
2011-05-18,4.425,4.5475,4.41,65884400,4.137033,4.51
2003-03-17,1.1,1.205833,1.0975,130780800,1.085474,1.183333
2009-11-20,3.17,3.24,3.1625,42674800,2.958299,3.225
2005-12-12,3.036667,3.079167,3.031667,28113600,2.818411,3.0725
2000-12-21,1.309896,1.489583,1.145833,84525600,1.065408,1.161458
2016-03-22,8.45,8.5225,8.3575,24201200,8.291196,8.4625
2019-11-01,49.900002,50.9725,49.647499,28364000,50.410797,50.647499
2019-09-20,44.224998,44.462502,43.07,35024400,42.970726,43.172501
2010-11-03,3.0925,3.115,3.0125,67174800,2.83905,3.095
2017-12-26,48.2575,49.4375,47.955002,35508000,48.838032,49.360001
2002-08-06,0.75,0.7825,0.738333,116880000,0.691799,0.754167
2011-03-24,4.5475,4.8625,4.5375,178059200,4.40993,4.8075
2013-09-13,3.9375,3.9675,3.91,15969600,3.706324,3.95
2021-01-04,131.042496,136.524994,129.625,56064000,130.833954,131.134995
2021-01-14,135.75,135.997498,131.804993,28312000,131.699493,132.002502
2013-04-03,3.065,3.0825,3.01,35315600,2.816842,3.0325
2003-08-14,1.351667,1.371667,1.335,152769600,1.238358,1.35
2021-04-19,155.365005,158.074997,152.330002,40442000,153.31778,153.617493
2011-03-07,5.2275,5.245,4.9875,101914000,4.694293,5.1175
2020-11-02,126.577499,128.367493,123.949997,29965200,125.481621,125.807503
2010-12-03,3.5775,3.6975,3.57,60604400,3.391725,3.6975
2022-12-05,166.789993,169.949997,164.720001,35225500,166.018555,166.100006
2023-07-28,466.679993,470.269989,463.809998,33119400,467.398438,467.5
2014-01-03,3.9725,3.98,3.905,25933200,3.695735,3.9175
2020-03-23,51.427502,54.119999,49.630001,64387600,52.994724,53.172501
2002-12-18,1.13,1.131667,1.075,112683600,0.988393,1.0775
2006-11-22,6.036667,6.125,6.005,24025800,5.612361,6.118333
2001-01-08,1.502604,1.760417,1.502604,57376800,1.552725,1.692708
2021-06-11,174.794998,179.392502,174.4375,41630800,177.945496,178.252502
2018-11-02,54.432499,55.5,52.552502,45296000,53.256863,53.73
2017-08-17,41.202499,41.375,40.345001,52544400,39.877773,40.3675
2021-01-12,137.524994,137.544998,133.449997,29147600,134.537979,134.847504
2013-04-16,3.235,3.2625,3.2175,46884400,3.009584,3.24
2012-01-18,3.445,3.5225,3.4275,63267600,3.205971,3.495
2002-10-14,0.7125,0.734167,0.6975,61148400,0.653578,0.7125
2015-10-26,7.1525,7.17,7.05,24743600,6.919393,7.115
2018-06-08,64.989998,66.0,64.800003,36045600,64.957039,65.57
2018-10-22,57.82,58.830002,56.767502,36884400,57.295975,57.805
2012-05-22,3.07,3.075,2.99,41014000,2.784012,3.035
2001-04-12,2.830417,3.052083,2.77625,144026400,2.68502,2.927083
2020-04-09,68.0,68.230003,65.105003,52556400,65.517715,65.737503
2018-08-27,68.355003,69.724998,68.037498,50577600,68.330254,68.974998
2002-08-23,0.995833,1.0025,0.951667,91993200,0.878317,0.9575
2020-09-23,125.754997,127.269997,120.792503,64701200,120.923462,121.237503
2013-07-09,3.55,3.5825,3.54,15736400,3.323625,3.56
2006-12-27,6.196667,6.273333,6.196667,26495400,5.734669,6.251667
2003-12-31,1.978333,1.9875,1.901667,49726800,1.773451,1.933333
2006-04-17,4.925,5.07,4.906667,44386800,4.537588,4.946667
2015-08-04,5.055,5.1075,5.035,26010000,4.931747,5.0925
2004-09-20,1.2,1.2575,1.185,79462800,1.121402,1.2225
2009-03-30,2.515,2.5475,2.4125,78005200,2.245097,2.4475
2014-08-07,4.4475,4.4875,4.335,40769600,4.155548,4.365
2004-04-20,1.97,1.991667,1.880833,51380400,1.726057,1.881667
2009-08-12,3.24,3.3925,3.2375,63494000,3.079843,3.3575
2015-11-09,7.81,7.875,7.7425,49256800,7.636619,7.8525
2003-10-10,1.391667,1.404167,1.375,41397600,1.278872,1.394167
2012-11-26,2.98,3.035,2.975,36460000,2.795049,3.0275
2015-04-29,5.5375,5.5925,5.5125,19515600,5.335582,5.535
2003-05-02,1.2175,1.333333,1.210833,169108800,1.215425,1.325
2013-12-13,3.785,3.8125,3.75,18458800,3.542435,3.755
2011-12-28,3.515,3.5225,3.425,23396000,3.144053,3.4275
2011-07-20,3.5675,3.5875,3.5,66295600,3.219731,3.51
2008-06-18,5.075,5.25,4.895,106527200,4.565873,4.9775
2019-10-24,49.1875,49.552502,48.845001,23202000,48.984978,49.215
2022-11-23,160.979996,165.270004,160.479996,42724100,165.066772,165.190002
2006-12-14,6.083333,6.218333,6.078333,71538000,5.633764,6.141667
2019-06-06,35.362499,36.192501,35.337502,40814000,35.741627,35.945
2024-03-06,880.219971,897.23999,870.299988,58252000,887.0,887.0
